"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nsf",1.54631966492811e-07,0.117428516031579,0.717,0.73,0.00320907720062531
"Epha4",1.72660045807141e-07,0.1632059009327,0.561,0.557,0.00358321393063559
"Myo16",1.84695581216493e-07,0.1178278781447,0.212,0.25,0.00383298739698587
"Ints10",1.9688468518557e-07,0.255590688082323,0.424,0.424,0.00408594787165614
"Pkig",2.00683445789993e-07,0.396528979637646,0.259,0.246,0.00416478355047972
"Glce",2.22181815697188e-07,0.220364786845124,0.476,0.483,0.00461093922116375
"Prkar2b",2.34044131297004e-07,0.174126162832743,0.531,0.538,0.00485711785680672
"Hecw2",2.51085990368741e-07,0.152803222243056,0.612,0.623,0.00521078755812249
"Mmp16",2.86608230698367e-07,0.128719068049464,0.658,0.669,0.00594798061168321
"Dpyd",3.50454719098302e-07,0.305481492633132,0.367,0.36,0.00727298678544705
"Mtmr7",3.83863426170896e-07,0.16749854040924,0.565,0.576,0.00796631768332461
"Lmo3",3.95271726725517e-07,0.274807478866801,0.361,0.354,0.00820307414473466
"Slc26a8",4.12491454372232e-07,0.376428338377946,0.266,0.251,0.00856043515258694
"Fam171a1",4.18150303238894e-07,0.209968724356758,0.503,0.512,0.00867787324311676
"Slc4a10",4.39697589087731e-07,0.111830031480034,0.745,0.762,0.00912504406633768
"Dph6",5.45423399420968e-07,0.196254630930055,0.493,0.5,0.0113191718081834
"Epha7",5.49447207613328e-07,0.193490870293087,0.519,0.524,0.0114026778995994
"Rapgef4",8.74656154797963e-07,0.130135756181659,0.727,0.752,0.0181517391805221
"Pdgfc",1.08038089786089e-06,0.294249872099492,0.325,0.316,0.022421144773307
"Mxi1",1.22086741124997e-06,0.290457005283426,0.338,0.332,0.0253366613856706
"Gli3",1.30733795871368e-06,0.312934933400769,0.293,0.282,0.027131184657185
"Clvs1",1.42160429452775e-06,0.219764099053949,0.491,0.501,0.0295025539243344
"Cyp7b1",1.61016837895541e-06,0.344161127345747,0.271,0.26,0.0334158243684615
"Shisa7",1.87939722929529e-06,0.309779765868006,0.316,0.31,0.0390031306995652
"Elmo1",1.90290304805884e-06,0.129190223695187,0.686,0.697,0.0394909469563651
"Dlgap4",1.92500702525721e-06,0.302841540469829,0.358,0.357,0.0399496707951629
